Classifier,Class,Fold,Accuracy,Precision,Recall,F1 Score,Matthews Correlation Coefficient,Cohen Kappa,True Positive Rate (TPR),True Negative Rate (TNR),False Positive Rate (FPR),False Negative Rate (FNR),Training Time (s),Testing Time (s)
RUSBoost,23,1.5,0.9885288387235359,0.4978401727861771,0.48020833333333335,0.48886532343584305,0.4887031301548595,0.48862017519006,0.4802083333332333,0.9999532710280328,4.672897196261661e-05,0.5197916666665586,167.69888579845428,0.9417604207992554
RUSBoost,24,1.5,0.9890087008362585,0.6961950660006322,0.9769270910988519,0.7843186777431165,0.805481554656271,0.7794812098571771,0.976927091098585,0.9892228228461752,0.010777177153820178,0.023072908901141782,167.69888579845428,0.9417604207992554
RUSBoost,25,1.5,0.9888713167376102,1.0,0.41874771660624455,0.5769250284709146,0.6346003461463596,0.5725491282460785,0.4187477166061463,0.9999999999999954,0.0,0.5812522833936166,167.69888579845428,0.9417604207992554
RUSBoost,26,1.5,0.9944013256598953,0.5621621621621622,0.2703895313451004,0.23827869922946326,0.31136035863655787,0.23629452955788588,0.27038953134464105,0.9962874690622376,0.003712530937757798,0.7296104686536091,167.69888579845428,0.9417604207992554
RUSBoost,27,1.5,0.9982404387468296,0.3333333333333333,0.023255813953488372,0.043478260869565216,0.08787795574928407,0.04336120657270465,0.023255813953434287,0.9999771030819207,2.2896918074827026e-05,0.9767441860439743,167.69888579845428,0.9417604207992554
RUSBoost,28,1.5,0.9999771491248115,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999956,0.0,0.49999999995,167.69888579845428,0.9417604207992554
RUSBoost,29,1.5,0.9976005714222694,0.5108207431604737,0.5285622593068036,0.49252136752136755,0.5046791612348795,0.49144060523493105,0.5285622593054713,0.9984433534142765,0.0015566465857190079,0.4714377406919933,167.69888579845428,0.9417604207992554
RUSBoost,30,1.5,0.9999542972052502,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999956,0.0,0.9999999999,167.69888579845428,0.9417604207992554
RUSBoost,31,1.5,0.9999542961608775,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999956,0.0,0.499999999975,167.69888579845428,0.9417604207992554
RUSBoost,32,1.5,0.9609460893129171,0.004107981220657277,0.5,0.008149010477299184,0.04353435252442143,0.007523920860319888,0.4999999999964286,0.9613555291319814,0.0386444708680141,0.4999999999973685,167.69888579845428,0.9417604207992554
RUSBoost,33,1.5,0.9998857435353119,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999956,0.0,0.9999999999583333,167.69888579845428,0.9417604207992554
