Classifier,Fold,Class,Accuracy,Precision,Recall,F1 Score,Balanced Accuracy,Matthews Correlation Coefficient,Cohen Kappa Score,True Positive Rate (TPR),True Negative Rate (TNR),False Positive Rate (FPR),False Negative Rate (FNR),Training Time (s),Testing Time (s)
Ridor-like,1,13,0.9995886842466066,0.9976007677543186,0.9980796927508402,0.9978401727861771,0.9989135709940684,0.9976129064649357,0.9976128713736974,0.9980796927507922,0.9997474492372918,0.0002525507627033021,0.0019203072491597733,0.7995953559875488,0.09998297691345215
Ridor-like,1,14,0.9971207897262465,0.9812972542777557,0.9935535858178888,0.9873873873873874,0.9955653902593233,0.9857865567878278,0.9857623645383856,0.9935535858178488,0.9975771947007527,0.0024228052992422166,0.006446414182110941,0.7995953559875488,0.09998297691345215
Ridor-like,1,15,0.9994515789954755,0.9863945578231292,0.9354838709677419,0.9602649006622517,0.9676959076830793,0.9603306796641986,0.9599889797960897,0.9354838709671385,0.9999079443984121,9.205560158335594e-05,0.06451612903221644,0.7995953559875488,0.09998297691345215
Ridor-like,1,16,0.9973492984781317,0.7674418604651163,0.4074074074074074,0.532258064516129,0.7034743459055386,0.5580456849725531,0.5310540897867846,0.40740740740690445,0.9995412844036652,0.00045871559633027314,0.592592592591861,0.7995953559875488,0.09998297691345215
Ridor-like,1,17,0.9996800877473607,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.9999999999999956,0.0,0.9999999999857143,0.7995953559875488,0.09998297691345215
Ridor-like,1,18,0.9989945614917052,0.5294117647058824,0.391304347826087,0.45,0.6954691745535413,0.4546614508292154,0.44950815247844955,0.39130434782438567,0.999634001280991,0.00036599871900448185,0.6086956521712665,0.7995953559875488,0.09998297691345215
Ridor-like,1,19,0.9997257894977377,1.0,0.9936575052854123,0.9968186638388123,0.9968287526427062,0.9966808933976496,0.9966753851937723,0.9936575052853072,0.9999999999999953,0.0,0.006342494714587067,0.7995953559875488,0.09998297691345215
Ridor-like,1,20,0.9998628947488689,0.9991850040749797,0.998371335504886,0.9987780040733197,0.9991614581945095,0.9987054701638097,0.9987053771705513,0.9983713355048046,0.9999515808841283,4.841911586694404e-05,0.0016286644951138739,0.7995953559875488,0.09998297691345215
Ridor-like,1,21,0.9993144737443445,0.9909326424870466,0.999346832135859,0.9951219512195122,0.9993294357239491,0.99476357437904,0.9947532901817301,0.9993468321357936,0.9993120393120345,0.0006879606879606847,0.0006531678641410416,0.7995953559875488,0.09998297691345215
Ridor-like,1,22,0.9971664914766235,0.8828828828828829,0.6666666666666666,0.7596899224806202,0.8330342627526763,0.7658729074647241,0.7582926752786199,0.6666666666662132,0.9994018588386814,0.0005981411613140674,0.3333333333331066,0.7995953559875488,0.09998297691345215
Ridor-like,1,23,0.9997257894977377,0.9958246346555324,0.9916839916839917,0.99375,0.9957952668700332,0.9936120743453355,0.9936098202566643,0.9916839916837855,0.9999065420560702,9.345794392523322e-05,0.008316008316006587,0.7995953559875488,0.09998297691345215
Ridor-like,1,24,0.9999085964992459,1.0,0.9943342776203966,0.9971590909090909,0.9971671388101984,0.9971167987217784,0.9971126423142987,0.994334277620115,0.9999999999999954,0.0,0.005665722379601794,0.7995953559875488,0.09998297691345215
Ridor-like,1,25,0.9995429824962296,0.9862700228832952,0.9908045977011494,0.9885321100917431,0.995262412624705,0.9883016630202451,0.9882989567617014,0.9908045977009217,0.9997202275482562,0.0002797724517392508,0.009195402298848462,0.7995953559875488,0.09998297691345215
Ridor-like,1,26,0.9978977194826562,0.6129032258064516,0.3584905660377358,0.4523809523809524,0.6789704067132054,0.46778852097579116,0.45140016067864375,0.3584905660370594,0.9994502473886706,0.0005497526113249013,0.6415094339610538,0.7995953559875488,0.09998297691345215
Ridor-like,1,27,0.9983547369864266,0.47368421052631576,0.2571428571428571,0.3333333333333333,0.6283425537201972,0.3482562454132314,0.3325820762486401,0.2571428571421224,0.9995422502975329,0.00045774970246269134,0.7428571428550204,0.7995953559875488,0.09998297691345215
Ridor-like,1,28,0.999954298249623,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.9999999999999956,0.0,0.9999999999,0.7995953559875488,0.09998297691345215
Ridor-like,1,29,0.9975778072300169,0.07142857142857142,0.024390243902439025,0.03636363636363636,0.5118975029036005,0.04069541111493636,0.035443526486995336,0.024390243902379535,0.9994047619047574,0.0005952380952380926,0.9756097560951814,0.7995953559875488,0.09998297691345215
Ridor-like,1,30,0.999954298249623,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.9999999999999956,0.0,0.9999999999,0.7995953559875488,0.09998297691345215
Ridor-like,1,31,0.9998628947488689,0.0,0.0,0.0,0.9998628947488689,0.0,0.0,0.0,0.9998628947488644,0.00013710525113111771,0.0,0.7995953559875488,0.09998297691345215
Ridor-like,1,32,0.9993144737443445,0.8333333333333334,0.2631578947368421,0.4,0.6315560766338131,0.46807236186825907,0.39974981574514845,0.2631578947354571,0.9999542585307795,4.5741469215991014e-05,0.7368421052592798,0.7995953559875488,0.09998297691345215
